State,CD#,Incumbent First,Incumbent Last,Party
AL,1,Bradley,Byrne,(R)
AL,2,Martha,Roby,(R)
AL,3,Mike,Rogers,(R)
AL,4,Robert,Aderholt,(R)
AL,5,Mo,Brooks,(R)
AL,6,Gary,Palmer,(R)
AL,7,Terri,Sewell,(D)
AK,AL,Don,Young,(R)
AZ,1,Tom,O'Halleran,(D)
AZ,2,Ann,Kirkpatrick,(D)
AZ,3,Raul,Grijalva,(D)
AZ,4,Paul,Gosar,(R)
AZ,5,Andy,Biggs,(R)
AZ,6,David,Schweikert,(R)
AZ,7,Ruben,Gallego,(D)
AZ,8,Debbie,Lesko,(R)
AZ,9,Greg,Stanton,(D)
AR,1,Rick,Crawford,(R)
AR,2,J. French,Hill,(R)
AR,3,Steve,Womack,(R)
AR,4,Bruce,Westerman,(R)
CA,1,Doug,La Malfa,(R)
CA,2,Jared,Huffman,(D)
CA,3,John,Garamendi,(D)
CA,4,Tom,McClintock,(R)
CA,5,Mike,Thompson,(D)
CA,6,Doris,Matsui,(D)
CA,7,Ami,Bera,(D)
CA,8,Paul,Cook,(R)
CA,9,Jerry,McNerney,(D)
CA,10,Josh,Harder,(D)
CA,11,Mark,DeSaulnier,(D)
CA,12,Nancy,Pelosi,(D)
CA,13,Barbara,Lee,(D)
CA,14,Jackie,Speier,(D)
CA,15,Eric,Swalwell,(D)
CA,16,Jim,Costa,(D)
CA,17,Ro,Khanna,(D)
CA,18,Anna,Eshoo,(D)
CA,19,Zoe,Lofgren,(D)
CA,20,Jimmy,Panetta,(D)
CA,21,TJ,Cox,(D)
CA,22,Devin,Nunes,(R)
CA,23,Kevin,McCarthy,(R)
CA,24,Salud,Carbajal,(D)
CA,25,Katie,Hill,(D)
CA,26,Julia,Brownley,(D)
CA,27,Judy,Chu,(D)
CA,28,Adam,Schiff,(D)
CA,29,Tony,Cardenas,(D)
CA,30,Brad,Sherman,(D)
CA,31,Pete,Aguilar,(D)
CA,32,Grace,Napolitano,(D)
CA,33,Ted,Lieu,(D)
CA,34,Jimmy,Gomez,(D)
CA,35,Norma,Torres,(D)
CA,36,Raul,Ruiz,(D)
CA,37,Karen,Bass,(D)
CA,38,Linda,Sanchez,(D)
CA,39,Gil,Cisneros,(D)
CA,40,Lucille,Roybal-Allard,(D)
CA,41,Mark,Takano,(D)
CA,42,Ken,Calvert,(R)
CA,43,Maxine,Waters,(D)
CA,44,Nanette,Diaz Barragan,(D)
CA,45,Katie,Porter,(D)
CA,46,Lou,Correa,(D)
CA,47,Alan,Lowenthal,(D)
CA,48,Harley,Rouda,(D)
CA,49,Mike,Levin,(D)
CA,50,Duncan,Hunter,(R)
CA,51,Juan,Vargas,(D)
CA,52,Scott,Peters,(D)
CA,53,Susan,Davis,(D)
CO,1,Diana,DeGette,(D)
CO,2,Joe,Neguse,(D)
CO,3,Scott,Tipton,(R)
CO,4,Ken,Buck,(R)
CO,5,Doug,Lamborn,(R)
CO,6,Jason,Crow,(D)
CO,7,Ed,Perlmutter,(D)
CT,1,John,Larson,(D)
CT,2,Joe,Courtney,(D)
CT,3,Rosa,DeLauro,(D)
CT,4,Jim,Himes,(D)
CT,5,Jahana,Hayes,(D)
DE,AL,Lisa,Blunt Rochester,(D)
FL,1,Matt,Gaetz,(R)
FL,2,Neal,Dunn,(R)
FL,3,Ted,Yoho,(R)
FL,4,John,Rutherford,(R)
FL,5,Al,Lawson,(D)
FL,6,Michael,Waltz,(R)
FL,7,Stephanie,Murphy,(D)
FL,8,Bill,Posey,(R)
FL,9,Darren,Soto,(D)
FL,10,Val,Demings,(D)
FL,11,Daniel,Webster,(R)
FL,12,Gus,Bilirakis,(R)
FL,13,Charlie,Crist,(D)
FL,14,Kathy,Castor,(D)
FL,15,Ross,Spano,(R)
FL,16,Vern,Buchanan,(R)
FL,17,Greg,Steube,(R)
FL,18,Brian,Mast,(R)
FL,19,Francis,Rooney,(R)
FL,20,Alcee,Hastings,(D)
FL,21,Lois,Frankel,(D)
FL,22,Ted,Deutch,(D)
FL,23,Debbie,Wasserman Schultz,(D)
FL,24,Frederica,Wilson,(D)
FL,25,Mario,Diaz-Balart,(R)
FL,26,Debbie,Mucarsel-Powell,(D)
FL,27,Donna,Shalala,(D)
GA,1,"Earl ""Buddy""",Carter,(R)
GA,2,Sanford,Bishop,(D)
GA,3,Drew,Ferguson,(R)
GA,4,Hank,Johnson,(D)
GA,5,John,Lewis,(D)
GA,6,Lucy,McBath,(D)
GA,7,Rob,Woodall,(R)
GA,8,Austin,Scott,(R)
GA,9,Doug,Collins,(R)
GA,10,Jody,Hice,(R)
GA,11,Barry,Loudermilk,(R)
GA,12,Rick,Allen,(R)
GA,13,David,Scott,(D)
GA,14,Tom,Graves,(R)
HI,1,Ed,Case,(D)
HI,2,Tulsi,Gabbard,(D)
ID,1,Russ,Fulcher,(R)
ID,2,Mike,Simpson,(R)
IL,1,Bobby,Rush,(D)
IL,2,Robin,Kelly,(D)
IL,3,Dan,Lipinski,(D)
IL,4,Chuy,Garcia,(D)
IL,5,Mike,Quigley,(D)
IL,6,Sean,Casten,(D)
IL,7,Danny,Davis,(D)
IL,8,Raja,Krishnamoorthi,(D)
IL,9,Jan,Schakowsky,(D)
IL,10,Brad,Schneider,(D)
IL,11,Bill,Foster,(D)
IL,12,Mike,Bost,(R)
IL,13,Rodney,Davis,(R)
IL,14,Lauren,Underwood,(D)
IL,15,John,Shimkus,(R)
IL,16,Adam,Kinzinger,(R)
IL,17,Cheri,Bustos,(D)
IL,18,Darin,LaHood,(R)
IN,1,Peter,Visclosky,(D)
IN,2,Jackie,Walorski,(R)
IN,3,James,Banks,(R)
IN,4,Jim,Baird,(R)
IN,5,Susan,Brooks,(R)
IN,6,Greg,Pence,(R)
IN,7,Andre,Carson,(D)
IN,8,Larry,Bucshon,(R)
IN,9,Trey,Hollingsworth,(R)
IA,1,Abby,Finkenauer,(D)
IA,2,Dave,Loebsack,(D)
